web-scraper-order	web-scraper-start-url	show	show-href	headliner	band2	band3	location	picture-src	cost-advance	cost-doors	time-doors	age	series	tickets	tickets-href
1553788532-161	http://www.lh-st.com/	Tow'rs	http://www.lh-st.com/Shows/03-31-2019+Towrs					/assets/root/images/artist/lhst/0331_TowrsSITE.jpg							
1553788548-214	http://www.lh-st.com/	Stella Donnelly	http://www.lh-st.com/Shows/03-29-2019+Stella+Donnelly									18+			
1553788553-227	http://www.lh-st.com/	J.S. Ondara	http://www.lh-st.com/Shows/03-28-2019+JS+Ondara		Cat Clyde										
1553788555-242	http://www.lh-st.com/	HÆLOS	http://www.lh-st.com/Shows/03-28-2019+HAELOS											Buy	javascript:Global.animateCart();
1553788542-190	http://www.lh-st.com/	Hayes Carll	http://www.lh-st.com/Shows/03-30-2019+Hayes+Carll											Buy	javascript:Global.animateCart();
1553788532-160	http://www.lh-st.com/	Tow'rs	http://www.lh-st.com/Shows/03-31-2019+Towrs				Schubas								
1553788524-128	http://www.lh-st.com/	Com Truise	http://www.lh-st.com/Shows/04-03-2019+Com+Truise							$20.00 [$22.00 Doors] 18+					
1553788528-143	http://www.lh-st.com/	"Schubas Open Mic 
Hosted by Tyler Snodgrass & Clare Austen-Smith"	http://www.lh-st.com/Shows/04-01-2019+Schubas+Open+Mic+Comedy								8:00 PM				
1553788555-239	http://www.lh-st.com/	HÆLOS	http://www.lh-st.com/Shows/03-28-2019+HAELOS							$20.00 [$25.00 Doors] All Ages					
1553788553-233	http://www.lh-st.com/	J.S. Ondara	http://www.lh-st.com/Shows/03-28-2019+JS+Ondara									All Ages			
1553788524-130	http://www.lh-st.com/	Com Truise	http://www.lh-st.com/Shows/04-03-2019+Com+Truise									18+			
1553788553-229	http://www.lh-st.com/	J.S. Ondara	http://www.lh-st.com/Shows/03-28-2019+JS+Ondara					/assets/root/images/artist/lhst/0328_JSOndaraSITE.jpg							
1553788540-181	http://www.lh-st.com/	Pickin' Bubs	http://www.lh-st.com/Shows/03-31-2019+Acoustic+Brunch+Pickin+Bubs										"Acoustic Brunch, featuring..."		
1553788524-127	http://www.lh-st.com/	Com Truise	http://www.lh-st.com/Shows/04-03-2019+Com+Truise						$20.00 						
1553788555-241	http://www.lh-st.com/	HÆLOS	http://www.lh-st.com/Shows/03-28-2019+HAELOS									All Ages			
1553788544-196	http://www.lh-st.com/	Ten Fé	http://www.lh-st.com/Shows/03-30-2019+Ten+Fe							$12.00 [$15.00 Doors] 21+					
1553788553-226	http://www.lh-st.com/	J.S. Ondara	http://www.lh-st.com/Shows/03-28-2019+JS+Ondara	J.S. Ondara											
1553788544-193	http://www.lh-st.com/	Ten Fé	http://www.lh-st.com/Shows/03-30-2019+Ten+Fe				Schubas								
